dispatch_date,dispatch_time,address_block,lat,lon,district_01,district_02,district_03,district_05,district_06,district_07,district_08,district_09,district_12,district_14,district_15,district_16,district_17,district_18,district_19,district_22,district_24,district_25,district_26,district_35,district_39,district_77,psa_1,psa_2,psa_3,psa_4,psa_5,psa_A,crime_Aggravated Assault Firearm,crime_Aggravated Assault No Firearm,crime_All Other Offenses,crime_Arson,crime_Burglary Non-Residential,crime_Burglary Residential,crime_DRIVING UNDER THE INFLUENCE,crime_Disorderly Conduct,crime_Embezzlement,crime_Forgery and Counterfeiting,crime_Fraud,crime_Gambling Violations,crime_Homicide - Criminal,crime_Homicide - Gross Negligence,crime_Homicide - Justifiable,crime_Liquor Law Violations,crime_Motor Vehicle Theft,crime_Narcotic / Drug Law Violations,crime_Offenses Against Family and Children,crime_Other Assaults,crime_Other Sex Offenses (Not Commercialized),crime_Prostitution and Commercialized Vice,crime_Public Drunkenness,crime_Rape,crime_Receiving Stolen Property,crime_Robbery Firearm,crime_Robbery No Firearm,crime_Theft from Vehicle,crime_Thefts,crime_Vagrancy/Loitering,crime_Vandalism/Criminal Mischief,crime_Weapon Violations,dispatch_date_dt,hour_sin,hour_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,geometry,tract_id,avg_wind_speed_mph,precipitation_inches,snowfall_inches,snow_depth_inches,max_temp_f,min_temp_f,pop_total,income_median,median_age,poverty_rate,vacancy_rate,renter_occupancy_rate,area_sq_km,pop_density_sq_km
2025-07-18,2025-07-21 10:31:00,2500 BLOCK S 4TH ST,39.91652584,-75.15394586,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.15394586 39.91652584),42101004202,7.4,0.0,0.0,0.0,85.0,76.0,5568.0,75984.0,37.6,0.13344109195402298,0.06104129263913824,0.2820267686424474,0.453343,12282.091043646864
2025-07-18,2025-07-21 04:40:00,7200 BLOCK SPRAGUE ST,40.06417981,-75.18810681,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.18810681 40.06417981),42101025600,7.4,0.0,0.0,0.0,85.0,76.0,2758.0,87788.0,42.9,0.03480783176214648,0.01984126984126984,0.34493927125506074,0.863997,3192.140713451551
2025-07-18,2025-07-21 10:56:00,8000 BLOCK FORREST AVE,40.07248221,-75.16947529,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.16947529 40.07248221),42101026000,7.4,0.0,0.0,0.0,85.0,76.0,3015.0,64868.0,44.6,0.18009950248756218,0.0,0.28454680534918275,0.543433,5548.062042606908
2025-07-18,2025-07-21 16:59:00,100 BLOCK E EVERGREEN AVE,40.07692735,-75.20659335,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-0.8660254037844385,-0.5000000000000004,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.20659335 40.07692735),42101038700,7.4,0.0,0.0,0.0,85.0,76.0,2444.0,124792.0,50.7,0.07405891980360066,0.036281179138321996,0.26705882352941174,2.053212,1190.3300779461645
2025-07-18,2025-07-21 18:10:00,400 BLOCK E SEDGWICK ST,40.06345302,-75.18192716,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.18192716 40.06345302),42101025500,7.4,0.0,0.0,0.0,85.0,76.0,2765.0,78798.0,49.0,0.05786618444846293,0.05091487669053302,0.25901089689857504,0.766603,3606.821262113506
2025-07-18,2025-07-21 19:39:00,400 BLOCK W WALNUT LN,40.03448362,-75.18489479,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-0.9659258262890684,0.2588190451025203,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.18489479 40.03448362),42101023900,7.4,0.0,0.0,0.0,85.0,76.0,1812.0,45294.0,32.6,0.108719646799117,0.09567901234567901,0.9266211604095563,0.486037,3728.111234329897
2025-07-18,2025-07-21 09:05:00,3800 BLOCK PECHIN ST,40.02246868,-75.20996629,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.7071067811865476,-0.7071067811865475,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.20996629 40.02246868),42101021000,7.4,0.0,0.0,0.0,85.0,76.0,4624.0,88924.0,35.0,0.15614186851211073,0.07839659453706989,0.5130869899923017,0.858223,5387.877043612209
2025-07-18,2025-07-21 06:13:00,200 BLOCK S MELVILLE ST,39.9546095,-75.21267112,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.21267112 39.9546095),42101008601,7.4,0.0,0.0,0.0,85.0,76.0,3364.0,87875.0,31.7,0.14863258026159334,0.17835051546391753,0.7440401505646174,0.252482,13323.722087119082
2025-07-18,2025-07-21 13:28:00,4500 BLOCK LUDLOW ST,39.957634,-75.212224,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-0.2588190451025208,-0.9659258262890683,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.212224 39.957634),42101008602,7.4,0.0,0.0,0.0,85.0,76.0,2805.0,32127.0,29.1,0.21711229946524063,0.178743961352657,0.8045751633986928,0.369142,7598.701854570869
2025-07-18,2025-07-21 14:41:00,200 BLOCK S MELVILLE ST,39.9546095,-75.21267112,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-0.4999999999999997,-0.8660254037844388,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.21267112 39.9546095),42101008601,7.4,0.0,0.0,0.0,85.0,76.0,3364.0,87875.0,31.7,0.14863258026159334,0.17835051546391753,0.7440401505646174,0.252482,13323.722087119082
